"Timestamp","Nama Anda","Ada Apa dengan Cinta 2","Gundala","Dilan 1991","Bumi Manusia ","Dua Garis Biru","Avengers: End Game","The Lion King","Aladdin","Spiderman: Far From Home","Captain Marvel"
"2019/09/17 10:18:21 AM GMT+7","Hania","3","5","4","4","4","","","","",""
"2019/09/17 10:18:37 AM GMT+7","Topik Zulkarnain","","","","","","5","5","","4","2"
"2019/09/17 10:18:39 AM GMT+7","AhokTemanFirli","","","","","","3","","","","4"
"2019/09/17 10:18:42 AM GMT+7","franadek","4","4","4","5","3","5","4","5","4","4"
"2019/09/17 10:19:01 AM GMT+7","OM INDRA","3","","2","","5","5","","1","5","5"
"2019/09/17 10:19:06 AM GMT+7","Mulya","","","","","","4","2","5","4","3"
"2019/09/17 10:19:09 AM GMT+7","Genjeh","5","4","3","","","5","","5","4","4"
"2019/09/17 10:19:10 AM GMT+7","faizah","3","","5","5","4","5","","","",""
"2019/09/17 10:19:14 AM GMT+7","Dpv","5","4","4","","","5","","","5","5"
"2019/09/17 10:19:30 AM GMT+7","Putrisqiana","4","3","2","4","3","5","","","4","3"
"2019/09/17 10:19:33 AM GMT+7","Nonton_Saat_Diskon","4","3","3","","","5","5","5","4","5"
"2019/09/17 10:19:35 AM GMT+7","Romantika","5","","5","","","","","","",""
"2019/09/17 10:19:36 AM GMT+7","ANI","4","","4","5","","","","4","3","4"
"2019/09/17 10:19:36 AM GMT+7","Rima","5","5","5","4","3","5","4","5","5","5"
"2019/09/17 10:19:37 AM GMT+7","bunga","","4","4","","","5","5","5","5","5"
"2019/09/17 10:19:39 AM GMT+7","Jawaharal","2","4","3","","5","5","4","5","5","4"
"2019/09/17 10:19:48 AM GMT+7","Febi ganteng gak ada obat","4","3","4","","","5","","5","5","4"
"2019/09/17 10:19:51 AM GMT+7","Star","4","4","","","","5","5","5","","5"
"2019/09/17 10:20:01 AM GMT+7","Indra Junior","4","","","","4","5","5","5","5","5"
"2019/09/17 10:20:01 AM GMT+7","Indra 1991 SM","","5","","","","","","","",""
"2019/09/17 10:20:10 AM GMT+7","Damar Teman Firli","5","","","","","5","","","5",""
"2019/09/17 10:20:26 AM GMT+7","jul","","3","","","3","3","3","3","3","3"
"2019/09/17 10:20:45 AM GMT+7","luck","3","","","","","4","","","","2"
"2019/09/17 10:20:53 AM GMT+7","Maria O.","","","","","","","5","4","",""
